chunk_text,manuelle,compound_score
le mois dernier à Bali au dernier sommet du G20 les grandes puissances ont jeté les bases dun nouveau document son objectif permettre que les voyages continuent même en cas de grande pandémie comme celle de la covid 19 nombreux,"0,3",0.0
sont ceux sur les réseaux sociaux qui voient le retour du Pass vaccinal se passe qui nautorise les voyages que pour les personnes vaccinées alors estce que cest vraiment ceux qui se préparent nous avons vérifié Musique jetons un oeil,"0,3",0.0
sur ce qui se dit sur internet il y a par exemple cette mise en garde sur facebook non au retour du passeport vaccinal cest un citoyen très impliqué au Québec contre les mesures sanitaires anti covid qui le dit,"0,3",-0.3182
un message est déjà partagé plus de 600 fois même formule dans ce tweet pour soutenir une pétition en ligne lancée en France contre ce retour supposé près de 195 000 signatures au moment où lon parlait puis le Pass,"0,3",0.0
vaccinal mondial cest en route le site suisse covid hub opposé au vaccin anti covid et sur de lui ce média affirme même que le ministre indonésien de la santé en a parlé lors dune discussion publique pendant le G20,0,-0.3182
sauf que et on l a entendu le ministre évoque un certificat médical mondial qui facilite la mobilité des voyageurs vaccinés ou correctement testés autrement dit il parle dun Pass sanitaire pas dimpasse vaccinal quand vous voyagez un pass sanitaire,0,0.0
ça veut dire que vous ne pouvez entrer dans un avion que si vous avez été testé par exemple pour covid 19 et que vous êtes négatif le Pass vaccinal on ne va vous autoriser à entrer dans lavion puisque,0,-0.4588
jai pris comme exemple lavion que si vous montrez une preuve de vaccination récapitulons ce qui se prépare ce nest pas un passe vaccinal international et à vrai dire ce qui disent que cen est un font une peut rigoureuse,0,-0.4588
des décisions prises à Bali au G20 ils font de cette future certification médicalement or comme lindique larticle 23 de la déclaration finale de ce G20 ce nest pas le cas nous reconnaissons limportance de normes techniques et de méthodes,0,0.0
de certification commune dans le cadre du Règlement sanitaire international pour faciliter des voyages internationaux fluides et identifiez des solutions numériques et non numériques dont des certificats de vaccination ce qui est en train de se passer actuellement est très,0,0.1779
important cest à dire que des instances géopolitiques sintéressent à la santé ça ne veut absolument pas dire que on va forcément imposer des choses hyper contraignantes ça nest pas ça cest effectivement daller vers des meilleurs coordinations sanitaires qui,"0,3",-0.6369
nous permettent dêtre plus efficace et cela à limage de ceux qui sétait passé juste après les attentats du 11 septembre 2001 aux ÉtatsUnis à lépoque le système de contrôle dans les aéroports du monde entier avaient été repensés dans,"0,3",0.0
un contexte complètement différent je le reconnais on peut rapprocher ce qui se passe de ce qui sest passé après le 11 septembre que ce soit le terrorisme que ce soit un virus que ce soit autre chose et on,"0,6",0.0
essaye de mieux se coordonner pour définir une stratégie globale qui nous permet de lutter contre ce danger et la semaine dernière lOMS lOrganisation Mondiale de la Santé a précisé que cette stratégie dharmonisation mondiale contre les pandémies sera étudiée,"0,3",-0.5267
à partir du 27 février 2023 et cela pendant trois jours à Genève au siège de linstitution Musique,0,0.0
